customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00033,Female,0,No,No,6,Yes,Yes,DSL,No internet service,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),114.72,678.99,Yes
CUST00034,Female,0,No,Yes,20,Yes,Yes,Fiber optic,No,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Electronic check,76.51,1528.27,Yes
CUST00035,Male,0,No,No,72,Yes,No,DSL,Yes,No,Yes,No,Yes,No internet service,Two year,Yes,Credit card (automatic),69.8,5027.38,No
CUST00036,Female,1,Yes,No,38,Yes,Yes,Fiber optic,Yes,No,No,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),103.62,3941.79,Yes
CUST00037,Female,0,Yes,No,17,Yes,No,No,No internet service,Yes,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),106.31,1807.62,Yes
CUST00038,Male,0,Yes,No,3,Yes,No,Fiber optic,No,Yes,No internet service,No,No internet service,No internet service,One year,No,Bank transfer (automatic),71.27,216.02,Yes
CUST00039,Male,0,No,No,59,Yes,No,Fiber optic,Yes,No internet service,No internet service,Yes,No,No internet service,Month-to-month,No,Electronic check,112.58,6638.71,Yes
CUST00040,Male,1,Yes,Yes,13,Yes,No,No,No,No internet service,No internet service,Yes,Yes,No,Month-to-month,Yes,Mailed check,24.6,319.7,No
CUST00041,Female,0,Yes,No,8,Yes,No,No,No,Yes,No,No internet service,Yes,No,Month-to-month,No,Electronic check,29.55,233.45,Yes
CUST00042,Male,0,Yes,No,52,Yes,No,No,No internet service,No internet service,No,No internet service,No internet service,Yes,One year,Yes,Mailed check,78.87,4102.65,No
CUST00043,Female,0,Yes,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),54.11,61.06,Yes
CUST00044,Male,0,Yes,No,59,Yes,Yes,DSL,No internet service,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,65.35,3855.37,No
CUST00045,Female,0,Yes,No,70,Yes,No,Fiber optic,Yes,No,No,Yes,No,No internet service,Two year,No,Mailed check,51.46,3595.34,No
CUST00046,Male,0,Yes,No,43,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),59.28,2550.02,Yes
CUST00047,Male,0,No,No,7,Yes,No,DSL,No internet service,No,Yes,No,No,No internet service,Two year,Yes,Electronic check,101.91,716.9,Yes
CUST00048,Female,0,No,No,46,No,Yes,DSL,No,Yes,No internet service,No,No,No,One year,Yes,Credit card (automatic),78.53,3607.79,No
CUST00049,Female,0,Yes,No,34,Yes,No,DSL,Yes,Yes,No internet service,No,No,Yes,Month-to-month,Yes,Credit card (automatic),119.73,4077.03,Yes
CUST00050,Female,0,No,Yes,35,Yes,Yes,Fiber optic,No internet service,No,No internet service,No,No,Yes,Month-to-month,Yes,Credit card (automatic),98.26,3436.12,Yes
CUST00051,Male,0,Yes,Yes,49,Yes,Yes,No,No internet service,No,No,No,Yes,No internet service,Month-to-month,Yes,Electronic check,45.91,2245.79,No
CUST00052,Female,0,Yes,Yes,3,Yes,No phone service,DSL,Yes,No,No,No,No,No internet service,One year,No,Mailed check,44.96,125.98,No
CUST00053,Male,0,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No internet service,One year,No,Electronic check,52.26,53.6,Yes
CUST00054,Female,0,Yes,No,5,Yes,No,No,Yes,No,Yes,No,Yes,No,One year,No,Electronic check,104.01,529.13,Yes
CUST00055,Female,0,No,Yes,53,Yes,Yes,DSL,No internet service,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,20.78,1103.17,No
CUST00056,Male,1,No,Yes,3,Yes,No,Fiber optic,Yes,No,Yes,No,No internet service,No internet service,One year,No,Bank transfer (automatic),41.48,120.77,Yes
CUST00057,Male,0,No,Yes,53,Yes,No,No,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,110.3,5848.47,Yes
CUST00058,Female,0,Yes,No,62,Yes,Yes,No,No,No internet service,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,83.27,5166.74,Yes
CUST00059,Male,0,No,Yes,17,Yes,No,DSL,No internet service,No internet service,Yes,No,No internet service,No,Two year,No,Electronic check,41.14,705.18,No
CUST00060,Female,0,Yes,No,43,Yes,No,DSL,No internet service,No,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),40.35,1728.88,Yes
CUST00061,Female,1,No,No,33,No,Yes,DSL,No,No,No,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,105.99,3505.44,Yes
CUST00062,Female,0,Yes,Yes,61,Yes,Yes,Fiber optic,No internet service,No,No,No,Yes,No internet service,One year,Yes,Bank transfer (automatic),109.16,6659.83,No
CUST00063,Female,0,No,Yes,13,Yes,Yes,Fiber optic,Yes,No,Yes,No,No internet service,No,Month-to-month,No,Electronic check,44.13,582.46,Yes
CUST00064,Female,1,Yes,Yes,47,Yes,Yes,Fiber optic,No internet service,No,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),60.89,2862.61,No
CUST00065,Female,0,No,Yes,14,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No internet service,One year,No,Electronic check,103.13,1446.7,No
CUST00066,Female,0,No,No,71,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,96.64,6856.7,Yes
CUST00067,Female,0,No,Yes,61,Yes,No,Fiber optic,Yes,No internet service,No internet service,No,Yes,No,Two year,No,Credit card (automatic),101.02,6167.14,No
CUST00068,Female,0,Yes,No,39,No,Yes,Fiber optic,No,Yes,No internet service,No,No,No internet service,Month-to-month,Yes,Mailed check,70.88,2758.94,Yes
CUST00069,Female,0,No,No,52,Yes,No,Fiber optic,No internet service,Yes,No,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),110.98,5772.3,Yes
CUST00070,Female,0,Yes,No,23,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,Yes,No internet service,Month-to-month,No,Mailed check,51.25,1176.6,Yes
CUST00071,Male,0,Yes,No,25,Yes,No,DSL,No internet service,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,33.98,849.06,No
CUST00072,Male,0,No,No,59,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),90.29,5332.54,Yes
CUST00073,Female,0,No,No,40,Yes,Yes,DSL,Yes,Yes,No,Yes,No internet service,No internet service,Month-to-month,No,Credit card (automatic),73.01,2918.62,Yes
CUST00074,Female,0,Yes,No,28,Yes,No,DSL,No,No,No internet service,No,No,Yes,Month-to-month,No,Bank transfer (automatic),105.17,2950.29,Yes
CUST00075,Female,0,No,No,14,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),26.28,365.89,Yes
CUST00076,Female,1,Yes,No,44,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,104.06,4579.29,No
CUST00077,Male,0,No,No,64,Yes,No,DSL,No internet service,Yes,Yes,No internet service,Yes,Yes,Two year,Yes,Electronic check,47.92,3077.63,No
CUST00078,Male,1,Yes,No,70,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,84.8,5936.61,Yes
CUST00079,Male,0,No,No,8,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,22.09,176.34,Yes
CUST00080,Female,0,Yes,No,0,Yes,No phone service,DSL,No,No,Yes,No,Yes,No internet service,Month-to-month,No,Electronic check,80.18,0.7,Yes
CUST00081,Male,0,No,No,7,Yes,No,Fiber optic,No,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),91.16,636.47,Yes
CUST00082,Male,0,Yes,No,62,No,No,Fiber optic,No,Yes,Yes,Yes,No,No internet service,Two year,Yes,Electronic check,55.61,3442.81,No
CUST00083,Male,0,No,Yes,10,Yes,No,Fiber optic,No internet service,Yes,No,No,No,Yes,One year,No,Credit card (automatic),39.97,410.0,No
CUST00084,Male,1,No,Yes,7,Yes,Yes,No,Yes,No,Yes,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),72.84,507.85,Yes
CUST00085,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,Yes,No internet service,No,Month-to-month,Yes,Electronic check,102.99,3494.05,Yes
CUST00086,Female,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),51.0,1733.22,Yes
CUST00087,Male,0,No,Yes,32,Yes,No,No,Yes,No internet service,No,No internet service,No,No,One year,Yes,Bank transfer (automatic),43.75,1401.78,No
CUST00088,Male,0,No,Yes,4,Yes,No,No,No,No internet service,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Electronic check,46.45,184.76,Yes
CUST00089,Male,0,Yes,No,40,Yes,Yes,DSL,No,Yes,Yes,No internet service,Yes,No internet service,Two year,Yes,Credit card (automatic),114.81,4592.16,No
CUST00090,Female,0,No,No,27,Yes,Yes,DSL,Yes,No,No internet service,Yes,No,No internet service,One year,Yes,Bank transfer (automatic),54.65,1474.73,No
CUST00091,Male,0,No,Yes,6,Yes,No,DSL,No,No,No,No internet service,Yes,Yes,Month-to-month,No,Electronic check,18.37,112.35,Yes
CUST00092,Male,0,No,Yes,72,Yes,No,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,No,One year,Yes,Electronic check,97.73,7040.65,No
CUST00093,Female,0,Yes,No,71,Yes,No,Fiber optic,Yes,No,Yes,No,No,No internet service,Two year,Yes,Credit card (automatic),89.33,6341.47,No
CUST00094,Female,0,Yes,Yes,11,Yes,Yes,DSL,Yes,No,No,No internet service,Yes,No internet service,One year,No,Mailed check,31.11,355.16,No
CUST00095,Male,0,No,No,33,Yes,No,Fiber optic,No,No,Yes,No internet service,No,No,Month-to-month,Yes,Electronic check,118.46,3914.38,Yes
CUST00096,Male,0,No,No,32,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.02,2560.61,Yes
CUST00097,Male,0,Yes,No,47,Yes,No,Fiber optic,No,No,No,No,No internet service,No,Two year,No,Credit card (automatic),69.08,3240.17,No
CUST00098,Female,0,Yes,Yes,22,Yes,No,No,No,No,No internet service,No,Yes,No internet service,One year,Yes,Bank transfer (automatic),56.99,1254.35,No
CUST00099,Female,0,No,No,61,Yes,Yes,Fiber optic,No,No internet service,Yes,No,No internet service,Yes,One year,No,Credit card (automatic),109.66,6693.33,No
CUST00100,Male,0,Yes,Yes,36,Yes,Yes,DSL,No internet service,No internet service,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),42.88,1547.79,No
CUST00101,Male,0,No,No,43,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No,No,No,Two year,Yes,Credit card (automatic),47.15,2018.19,No
CUST00102,Male,0,No,No,34,Yes,Yes,DSL,No internet service,No,Yes,Yes,No,No,Two year,No,Mailed check,30.49,1037.24,No
CUST00103,Male,0,No,Yes,64,No,No,Fiber optic,No,No internet service,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,95.43,6105.12,Yes
CUST00104,Male,0,No,No,46,Yes,No,No,No,Yes,Yes,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),78.75,3629.99,Yes
CUST00105,Male,0,No,Yes,2,Yes,No,No,No internet service,No,No,Yes,No internet service,No internet service,One year,Yes,Mailed check,80.12,160.86,Yes
CUST00106,Male,0,Yes,No,0,Yes,No phone service,Fiber optic,No internet service,No,Yes,Yes,No,Yes,One year,No,Mailed check,40.28,0.0,No
CUST00107,Male,1,Yes,Yes,4,Yes,No,DSL,No,No internet service,Yes,No,Yes,No,One year,No,Bank transfer (automatic),84.42,339.52,Yes
CUST00108,Female,0,No,No,13,No,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,96.08,1239.29,Yes
CUST00109,Male,0,Yes,Yes,26,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,No,Electronic check,54.5,1419.25,No
CUST00110,Male,0,Yes,No,8,Yes,No phone service,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Electronic check,99.74,810.86,Yes
CUST00111,Female,0,No,No,14,Yes,No,Fiber optic,Yes,No,Yes,No,No,No internet service,Month-to-month,Yes,Electronic check,53.58,756.92,Yes
CUST00112,Female,0,Yes,No,41,Yes,Yes,DSL,No,No,Yes,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),95.33,3909.82,Yes
CUST00113,Female,0,No,No,50,Yes,No,DSL,No,Yes,No internet service,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),21.44,1068.7,Yes
CUST00114,Male,1,Yes,No,62,Yes,Yes,DSL,No internet service,No,No,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),74.22,4608.01,Yes
CUST00115,Male,0,Yes,Yes,51,Yes,Yes,No,No,No,No internet service,No internet service,No internet service,No,Month-to-month,No,Electronic check,116.89,5964.57,Yes
CUST00116,Male,0,No,No,3,Yes,Yes,Fiber optic,No internet service,Yes,No,No,No,No internet service,Month-to-month,No,Mailed check,118.09,352.94,Yes
CUST00117,Female,0,Yes,No,22,No,No,Fiber optic,No,No,Yes,Yes,No internet service,No,Month-to-month,No,Bank transfer (automatic),46.74,1025.59,Yes
CUST00118,Male,0,No,No,14,Yes,No,DSL,Yes,No internet service,No,Yes,Yes,Yes,One year,No,Mailed check,63.02,877.75,No
CUST00119,Male,0,No,No,42,Yes,No,Fiber optic,No,No,No internet service,Yes,Yes,No internet service,One year,Yes,Electronic check,24.42,1027.51,No
CUST00120,Male,1,Yes,Yes,28,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Two year,No,Electronic check,107.08,2996.16,No
CUST00121,Male,0,No,No,35,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),75.99,2660.49,Yes
CUST00122,Female,0,No,No,12,Yes,No,No,No,No,No,No internet service,Yes,No,Month-to-month,Yes,Electronic check,57.28,692.0,Yes
CUST00123,Male,0,Yes,Yes,31,Yes,No,Fiber optic,No internet service,Yes,Yes,No,No internet service,No internet service,Two year,No,Mailed check,29.5,912.29,No
CUST00124,Male,0,Yes,No,70,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No internet service,Month-to-month,Yes,Mailed check,114.57,8023.13,Yes
CUST00125,Male,0,No,No,58,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,No,No,Two year,No,Electronic check,72.08,4186.75,No
CUST00126,Male,0,Yes,Yes,27,Yes,Yes,No,Yes,Yes,Yes,Yes,No internet service,No,Two year,No,Credit card (automatic),46.86,1267.2,No
CUST00127,Female,0,Yes,Yes,65,Yes,Yes,No,Yes,No,No internet service,Yes,No,No internet service,Month-to-month,No,Credit card (automatic),53.72,3495.3,No
CUST00128,Male,0,Yes,No,41,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No internet service,Yes,Yes,Two year,Yes,Electronic check,45.61,1872.02,No
CUST00129,Female,1,No,No,44,Yes,Yes,DSL,No internet service,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,79.38,3492.8,Yes
CUST00130,Male,0,Yes,No,61,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,112.86,6888.65,Yes
CUST00131,Male,1,Yes,Yes,56,Yes,No,DSL,No internet service,No internet service,Yes,Yes,No internet service,No,One year,Yes,Mailed check,105.38,5909.33,No
CUST00132,Female,0,Yes,No,5,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,64.96,329.07,Yes
CUST00133,Female,0,Yes,No,27,No,No,Fiber optic,Yes,Yes,No,No,No internet service,No,Two year,No,Bank transfer (automatic),102.3,2761.13,No
CUST00134,Male,0,Yes,No,27,No,Yes,DSL,Yes,No,No internet service,No,No internet service,No,Month-to-month,Yes,Mailed check,61.16,1650.48,Yes
CUST00135,Female,1,No,Yes,43,No,Yes,DSL,No,Yes,No internet service,No,Yes,No internet service,Month-to-month,Yes,Mailed check,43.74,1880.17,No
CUST00136,Male,0,No,Yes,29,Yes,No,Fiber optic,No,No,Yes,No,Yes,No internet service,One year,Yes,Electronic check,118.31,3435.73,No
CUST00137,Male,0,Yes,Yes,61,Yes,Yes,No,No,No,No internet service,No,No,Yes,One year,No,Mailed check,49.0,2986.37,No
CUST00138,Female,0,Yes,No,61,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),51.02,3107.1,Yes
CUST00139,Male,0,No,No,0,No,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,118.95,2.34,Yes
CUST00140,Male,0,No,Yes,26,No,No,DSL,No internet service,Yes,No internet service,Yes,Yes,No,Two year,No,Bank transfer (automatic),31.66,823.27,No
CUST00141,Female,0,No,Yes,61,Yes,Yes,Fiber optic,No,Yes,No internet service,No,No,No internet service,Month-to-month,No,Electronic check,95.57,5837.18,Yes
CUST00142,Female,0,No,No,2,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,113.45,215.62,Yes
CUST00143,Male,0,No,Yes,69,No,Yes,Fiber optic,No,Yes,Yes,No,No internet service,No,One year,Yes,Electronic check,70.2,4844.84,No
CUST00144,Male,0,Yes,No,71,No,Yes,DSL,No,Yes,No,No,No internet service,No,One year,Yes,Bank transfer (automatic),18.26,1294.44,No
CUST00145,Male,0,No,No,26,Yes,No,Fiber optic,No,Yes,No,No internet service,No,No internet service,One year,Yes,Mailed check,56.26,1466.81,No
CUST00146,Female,1,No,No,8,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),29.38,233.64,Yes
CUST00147,Male,0,Yes,No,61,Yes,No,DSL,Yes,No internet service,Yes,No,No,No,One year,No,Mailed check,60.45,3684.57,No
CUST00148,Male,0,Yes,Yes,36,Yes,No,No,No,Yes,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),98.58,3553.56,No
CUST00149,Female,0,No,Yes,50,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,62.75,3143.89,No
CUST00150,Male,0,Yes,No,43,Yes,No,DSL,Yes,No,Yes,Yes,No internet service,No,Two year,No,Mailed check,62.06,2668.09,No
CUST00151,Female,0,No,No,23,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),74.79,1719.78,Yes
CUST00152,Female,0,No,No,58,Yes,No,No,No internet service,No internet service,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,77.33,4491.49,Yes
CUST00153,Male,1,Yes,Yes,31,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,No internet service,No,Month-to-month,Yes,Mailed check,105.34,3271.33,Yes
CUST00154,Female,0,Yes,Yes,51,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,Yes,Two year,No,Mailed check,49.45,2527.11,No
CUST00155,Male,0,Yes,No,61,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,101.81,6208.4,Yes
CUST00156,Male,0,Yes,Yes,57,Yes,No,DSL,No internet service,No,No internet service,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),75.73,4313.32,No
CUST00157,Female,0,Yes,Yes,51,Yes,Yes,Fiber optic,Yes,No internet service,No,No internet service,No,No,Two year,No,Bank transfer (automatic),48.65,2489.33,No
CUST00158,Female,1,Yes,Yes,11,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),48.1,532.15,Yes
CUST00159,Female,0,Yes,No,38,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,54.84,2080.21,No
CUST00160,Male,0,Yes,No,1,Yes,Yes,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),81.51,80.98,Yes
CUST00161,Male,0,Yes,Yes,2,Yes,No,DSL,No internet service,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),41.54,83.5,Yes
CUST00162,Female,0,Yes,Yes,55,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No internet service,One year,No,Credit card (automatic),111.87,6152.32,No
CUST00163,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No internet service,No,No internet service,No,No,Yes,Month-to-month,No,Electronic check,76.64,4443.66,Yes
CUST00164,Female,0,No,No,1,Yes,Yes,Fiber optic,No internet service,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),111.84,117.99,Yes
CUST00165,Male,1,Yes,No,1,Yes,No phone service,Fiber optic,Yes,Yes,No,Yes,No internet service,No internet service,One year,No,Mailed check,22.73,25.37,No
CUST00166,Male,0,No,No,53,Yes,Yes,DSL,No,No internet service,Yes,No,No,Yes,Month-to-month,No,Electronic check,52.95,2817.62,No
CUST00167,Male,0,No,No,0,Yes,No,Fiber optic,No internet service,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),20.33,6.43,Yes
CUST00168,Male,0,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),45.77,824.54,Yes
CUST00169,Female,1,Yes,No,1,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),105.92,113.01,Yes
CUST00170,Male,0,No,No,52,Yes,No phone service,DSL,No,Yes,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,21.73,1131.72,Yes
CUST00171,Female,0,Yes,No,43,Yes,Yes,No,No,No internet service,No internet service,Yes,No,No,Two year,No,Electronic check,62.49,2699.16,No
CUST00172,Male,0,No,No,31,Yes,No,Fiber optic,No,No,No,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),29.99,928.12,Yes
CUST00173,Male,1,Yes,No,69,Yes,Yes,DSL,No internet service,Yes,No internet service,Yes,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),60.52,4178.15,No
