gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn,charge_per_tenure,long_term_mth_to_mth
Female,0,No,No,31,Yes,No,DSL,No,Yes,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),41.46,1280.89,0,1.295625,1
Female,0,No,No,46,No,Yes,Fiber optic,No,No internet service,Yes,No,No internet service,No internet service,Month-to-month,No,Electronic check,80.69,3710.47,1,1.7168085106382978,1
Male,0,No,Yes,15,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,64.27,958.88,1,4.016875,0
Male,0,No,No,47,Yes,No,No,Yes,No internet service,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,109.63,5147.78,1,2.283958333333333,1
Female,0,No,Yes,37,Yes,No,Fiber optic,Yes,Yes,No,No internet service,Yes,No internet service,Two year,Yes,Bank transfer (automatic),42.32,1565.57,0,1.1136842105263158,0
Female,0,No,No,67,Yes,Yes,DSL,No internet service,No internet service,Yes,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,66.52,4464.74,1,0.978235294117647,1
Female,1,Yes,No,69,Yes,Yes,Fiber optic,No,Yes,No,No internet service,No,No,Two year,Yes,Mailed check,46.12,3184.34,0,0.6588571428571428,0
Female,0,No,No,20,Yes,Yes,Fiber optic,Yes,Yes,No,No,No internet service,No,Month-to-month,No,Mailed check,40.13,807.25,1,1.9109523809523812,0
Female,0,No,No,40,Yes,No,Fiber optic,No internet service,No,Yes,No,No,Yes,One year,Yes,Electronic check,40.0,1598.05,0,0.975609756097561,0
Female,0,No,Yes,36,Yes,Yes,DSL,No,No,Yes,Yes,No,No internet service,Two year,No,Mailed check,37.48,1352.29,0,1.0129729729729728,0
Female,0,Yes,Yes,47,Yes,Yes,DSL,No,No,No internet service,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),74.93,3524.44,1,1.5610416666666669,1
Male,1,No,No,1,Yes,No,No,Yes,No,Yes,No,Yes,No internet service,Month-to-month,Yes,Electronic check,62.76,48.0,1,31.38,0
Female,0,Yes,Yes,31,Yes,Yes,DSL,No internet service,Yes,No,No,No internet service,No,Two year,Yes,Credit card (automatic),71.1,2206.9,0,2.221875,0
Female,0,No,Yes,6,Yes,Yes,Fiber optic,No,No,No,No internet service,No,No internet service,Month-to-month,No,Mailed check,93.68,566.23,1,13.382857142857144,0
Female,0,No,No,7,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Mailed check,115.75,808.79,1,14.46875,0
Male,0,No,No,67,Yes,No,Fiber optic,Yes,No,No internet service,Yes,No,No internet service,One year,No,Electronic check,114.46,7669.43,0,1.683235294117647,0
Female,0,No,No,44,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),23.07,1008.39,1,0.5126666666666667,1
Male,1,No,Yes,17,Yes,No phone service,Fiber optic,Yes,No internet service,No,No,No,Yes,Two year,No,Electronic check,108.57,1845.0,0,6.031666666666666,0
Female,0,No,No,19,No,Yes,No,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,65.53,1245.02,0,3.2765,0
Male,0,No,No,19,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,69.65,1320.05,1,3.4825000000000004,0
Female,0,Yes,No,20,Yes,Yes,No,Yes,Yes,No,No internet service,Yes,Yes,Month-to-month,No,Bank transfer (automatic),52.31,1045.34,0,2.4909523809523813,0
Female,0,No,No,35,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,96.64,3380.21,1,2.6844444444444444,1
Female,0,Yes,No,63,Yes,No,DSL,No,Yes,Yes,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),102.59,6461.07,1,1.60296875,1
Female,0,Yes,No,21,No,Yes,No,No,Yes,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),61.88,1310.87,0,2.812727272727273,0
Female,0,No,No,72,Yes,No,No,Yes,No internet service,No,No internet service,No,No,Two year,Yes,Mailed check,82.92,5967.78,0,1.135890410958904,0
Female,0,Yes,Yes,60,Yes,No,Fiber optic,No,No,Yes,No internet service,Yes,No,Two year,Yes,Electronic check,87.59,5249.76,0,1.4359016393442623,0
Female,0,No,No,35,Yes,No,DSL,No internet service,Yes,Yes,No internet service,No internet service,No,Two year,No,Credit card (automatic),41.72,1453.87,0,1.1588888888888889,0
Male,0,Yes,Yes,49,Yes,No,Fiber optic,No,No,Yes,No,No internet service,No internet service,One year,Yes,Bank transfer (automatic),93.52,4581.05,0,1.8703999999999998,0
Female,0,No,No,42,Yes,No,No,No internet service,Yes,No internet service,No,Yes,Yes,One year,No,Electronic check,53.38,2242.53,0,1.2413953488372094,0
Female,0,Yes,No,11,Yes,Yes,DSL,Yes,No,No,No,No internet service,No,Month-to-month,Yes,Electronic check,34.91,393.46,1,2.9091666666666662,0
Female,0,No,No,39,Yes,No phone service,DSL,No internet service,Yes,No,No,No internet service,No,Month-to-month,No,Electronic check,73.89,2878.58,1,1.84725,1
Male,0,Yes,No,46,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,107.28,4935.28,0,2.2825531914893618,0
Female,1,Yes,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),73.8,5234.47,0,1.025,0
Male,0,No,No,54,Yes,No,Fiber optic,Yes,Yes,No,Yes,No internet service,No internet service,One year,Yes,Electronic check,86.35,4662.51,0,1.5699999999999998,0
Female,0,No,No,59,Yes,Yes,Fiber optic,No,No internet service,No,No,No,No internet service,Two year,No,Electronic check,42.56,2516.39,0,0.7093333333333334,0
Male,0,Yes,No,10,Yes,Yes,DSL,No internet service,No,No,No,No,Yes,Month-to-month,No,Mailed check,76.79,773.65,1,6.980909090909091,0
Male,0,No,No,44,Yes,Yes,No,No,No internet service,No internet service,No,Yes,No internet service,Two year,Yes,Bank transfer (automatic),60.49,2660.98,0,1.3442222222222222,0
Female,0,Yes,No,39,Yes,Yes,Fiber optic,No,No,No internet service,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),102.67,4002.14,1,2.56675,1
Female,0,No,No,47,Yes,No,DSL,Yes,No internet service,No,Yes,Yes,Yes,One year,No,Credit card (automatic),104.07,4896.53,0,2.168125,0
Male,0,Yes,No,11,Yes,Yes,DSL,No internet service,No internet service,No internet service,No internet service,No,Yes,Two year,Yes,Electronic check,39.23,427.69,0,3.2691666666666666,0
Male,0,No,Yes,14,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,44.43,621.99,1,2.962,0
Male,0,No,No,11,Yes,Yes,Fiber optic,Yes,Yes,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),89.29,986.88,1,7.440833333333334,0
Female,0,Yes,No,10,No,No phone service,Fiber optic,Yes,Yes,Yes,No internet service,No,Yes,One year,Yes,Mailed check,107.19,1067.97,1,9.744545454545454,0
Female,0,No,No,66,Yes,Yes,DSL,No,No,No,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic),59.91,3958.15,0,0.8941791044776118,1
Female,0,Yes,No,11,Yes,No,Fiber optic,No internet service,Yes,No internet service,No,No internet service,Yes,Two year,No,Mailed check,26.35,286.24,0,2.1958333333333333,0
Female,0,No,No,57,Yes,Yes,Fiber optic,Yes,No internet service,Yes,Yes,Yes,No,One year,No,Electronic check,50.94,2899.01,0,0.8782758620689655,0
Female,0,Yes,No,37,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),100.43,3716.14,0,2.6428947368421056,0
Male,1,Yes,Yes,20,Yes,No,Fiber optic,Yes,No,No internet service,Yes,Yes,No,Month-to-month,Yes,Electronic check,86.5,1718.03,1,4.119047619047619,0
Female,1,No,No,38,Yes,Yes,Fiber optic,No internet service,No,No internet service,No,Yes,No,Month-to-month,Yes,Credit card (automatic),30.15,1141.31,1,0.773076923076923,1
Male,0,Yes,Yes,3,Yes,No,DSL,No,No internet service,No,No,No,No,Month-to-month,No,Credit card (automatic),57.81,175.58,1,14.4525,0
Female,0,Yes,No,45,Yes,No,DSL,No internet service,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,106.23,4777.35,0,2.3093478260869564,0
Male,1,No,No,13,Yes,No,No,No internet service,Yes,No internet service,No,Yes,No,One year,No,Electronic check,23.61,314.83,0,1.6864285714285714,0
Female,0,No,No,23,Yes,No,No,Yes,No,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),83.6,1925.07,1,3.483333333333333,0
Female,0,Yes,No,67,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,42.76,2870.73,1,0.6288235294117647,1
Female,0,No,No,67,Yes,No phone service,Fiber optic,No,No,No,No,No,Yes,One year,No,Mailed check,40.29,2697.77,0,0.5925,0
Male,0,No,No,15,Yes,No phone service,Fiber optic,No internet service,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),116.4,1736.98,0,7.275,0
Male,0,No,No,72,No,No,Fiber optic,No,No internet service,No,No internet service,No,Yes,One year,Yes,Electronic check,103.52,7453.53,0,1.418082191780822,0
Female,0,No,No,29,Yes,No phone service,Fiber optic,Yes,No internet service,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),32.84,962.87,1,1.0946666666666667,1
Male,0,No,Yes,54,Yes,No,Fiber optic,No,Yes,No internet service,Yes,No,No internet service,Two year,No,Electronic check,81.32,4391.43,0,1.4785454545454544,0
Female,0,Yes,No,6,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),51.82,312.09,1,7.402857142857143,0
Female,0,Yes,No,15,Yes,Yes,DSL,Yes,Yes,No internet service,No,No,Yes,Month-to-month,Yes,Electronic check,87.91,1321.21,1,5.494375,0
Male,0,Yes,Yes,28,Yes,Yes,Fiber optic,No internet service,No,Yes,No,No,No internet service,Two year,No,Mailed check,58.27,1630.63,0,2.009310344827586,0
Male,1,Yes,No,14,Yes,No,Fiber optic,No internet service,No,Yes,No internet service,No,Yes,Month-to-month,Yes,Electronic check,63.88,888.65,1,4.258666666666667,0
Male,0,No,No,50,Yes,Yes,No,Yes,Yes,No,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),64.5,3226.11,0,1.2647058823529411,1
Female,0,Yes,No,24,Yes,Yes,Fiber optic,No,No internet service,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,111.68,2683.74,1,4.4672,0
Female,0,No,No,28,Yes,Yes,DSL,No,Yes,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),22.98,646.74,0,0.7924137931034483,1
Female,0,No,No,67,Yes,Yes,Fiber optic,No internet service,Yes,No,No,No,No,Two year,Yes,Electronic check,93.39,6258.97,0,1.3733823529411764,0
Female,0,No,No,70,Yes,No,DSL,No,No internet service,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,21.1,1480.73,0,0.2971830985915493,1
Female,0,No,No,9,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,55.92,502.7,1,5.5920000000000005,0
Male,0,No,No,31,Yes,No,Fiber optic,No,No,No,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),96.78,3002.62,1,3.024375,1
Female,0,No,Yes,15,Yes,No,DSL,Yes,No,No,No,No internet service,No,Month-to-month,No,Mailed check,26.4,393.8,0,1.65,0
Male,0,No,No,20,Yes,Yes,Fiber optic,No,Yes,No,No,No internet service,No,Month-to-month,No,Mailed check,60.42,1202.15,1,2.8771428571428572,0
Male,0,Yes,Yes,62,Yes,No,DSL,No,No,No internet service,Yes,No internet service,No internet service,Two year,Yes,Electronic check,35.49,2196.29,0,0.5633333333333334,0
Male,0,No,Yes,66,Yes,No,DSL,No internet service,Yes,Yes,No internet service,No internet service,No,Two year,Yes,Bank transfer (automatic),65.57,4327.1,0,0.9786567164179103,0
Female,0,No,No,32,Yes,Yes,No,No internet service,No,Yes,No internet service,No internet service,No,Two year,Yes,Mailed check,65.72,2104.57,0,1.9915151515151515,0
Female,1,Yes,No,13,Yes,Yes,DSL,No,No,Yes,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),33.1,437.35,0,2.3642857142857143,0
Female,0,No,No,58,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),57.48,3340.55,1,0.9742372881355932,1
Female,0,Yes,No,36,Yes,Yes,No,No,No,No internet service,Yes,No,No internet service,Month-to-month,Yes,Mailed check,70.25,2537.51,1,1.8986486486486487,1
Female,0,Yes,No,29,Yes,No phone service,Fiber optic,No internet service,No,No,No,No,No,Two year,Yes,Mailed check,20.1,580.73,0,0.67,0
Female,1,No,No,10,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Bank transfer (automatic),26.15,266.31,0,2.377272727272727,0
Male,0,No,Yes,56,Yes,No,No,No,No internet service,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,52.95,2965.01,0,0.9289473684210526,1
Male,0,Yes,No,13,Yes,Yes,DSL,No,No,Yes,No internet service,No,No,Two year,Yes,Mailed check,20.62,256.67,0,1.4728571428571429,0
Female,0,No,No,51,Yes,No,Fiber optic,Yes,No internet service,No,No,Yes,Yes,Month-to-month,No,Mailed check,60.97,3104.44,1,1.1724999999999999,1
Male,0,No,No,55,No,No,DSL,No internet service,Yes,Yes,No internet service,No,Yes,Two year,Yes,Electronic check,76.23,4196.3,0,1.36125,0
Female,0,Yes,No,41,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),77.6,3188.83,0,1.8476190476190475,0
Male,0,Yes,No,5,Yes,Yes,DSL,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),104.09,515.19,1,17.348333333333333,0
Male,0,Yes,No,30,Yes,Yes,Fiber optic,Yes,No internet service,No,No internet service,No internet service,Yes,Month-to-month,No,Credit card (automatic),83.0,2493.33,1,2.6774193548387095,1
Female,1,Yes,No,47,Yes,Yes,DSL,No internet service,No internet service,No,Yes,No internet service,Yes,Two year,Yes,Electronic check,63.67,2991.04,0,1.3264583333333333,0
Male,0,No,No,63,Yes,Yes,DSL,No internet service,Yes,No,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),82.31,5183.82,1,1.28609375,1
Female,0,Yes,No,47,Yes,No,No,Yes,No internet service,No,No,No internet service,No,One year,No,Mailed check,48.63,2276.36,0,1.013125,0
Male,0,Yes,No,26,Yes,No,No,Yes,No,Yes,Yes,No,No internet service,Month-to-month,Yes,Mailed check,37.72,984.27,0,1.397037037037037,1
Male,0,No,No,42,Yes,No,Fiber optic,No,No,No internet service,Yes,Yes,No internet service,One year,Yes,Electronic check,24.42,1027.51,0,0.5679069767441861,0
Female,0,Yes,Yes,34,Yes,No,DSL,No,No,No internet service,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),106.61,3625.89,1,3.046,1
Male,1,Yes,Yes,0,Yes,No phone service,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),30.71,0.0,1,30.71,0
Female,0,No,No,3,Yes,No,Fiber optic,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,67.64,210.16,0,16.91,0
Male,0,No,No,7,Yes,No,Fiber optic,No,No,No,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),72.08,501.36,1,9.01,0
Male,0,No,No,20,Yes,No,Fiber optic,No,Yes,No,No,No internet service,No,Month-to-month,No,Electronic check,19.11,380.99,1,0.9099999999999999,0
Male,0,Yes,Yes,29,Yes,No,No,No internet service,No,Yes,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),87.02,2530.55,1,2.9006666666666665,1
Female,0,Yes,No,44,No,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,88.7,3896.15,1,1.9711111111111113,1
Male,0,No,Yes,5,Yes,No,DSL,Yes,Yes,Yes,No internet service,Yes,No internet service,Two year,No,Credit card (automatic),79.47,395.72,1,13.245,0
Female,0,Yes,No,25,No,No phone service,No,Yes,No internet service,Yes,No,No internet service,No internet service,One year,No,Electronic check,58.56,1456.76,0,2.2523076923076926,0
Female,1,No,No,41,Yes,No phone service,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Mailed check,64.41,2642.93,0,1.5335714285714286,0
Male,1,No,No,47,Yes,No,Fiber optic,No,Yes,No,No,Yes,No internet service,Two year,No,Credit card (automatic),57.83,2713.92,0,1.2047916666666667,0
Male,0,No,No,16,No,Yes,DSL,No,No,No,No,No internet service,No,Month-to-month,Yes,Electronic check,104.49,1667.94,1,6.146470588235294,0
Female,1,No,No,51,Yes,No,Fiber optic,No internet service,No internet service,Yes,No,Yes,No internet service,Month-to-month,No,Electronic check,69.92,3568.35,1,1.3446153846153845,1
Female,0,No,No,67,Yes,No,DSL,No,No internet service,No,No internet service,Yes,No internet service,Two year,Yes,Mailed check,22.53,1511.5,0,0.33132352941176474,0
Female,0,Yes,Yes,18,Yes,No,No,No internet service,No,No internet service,No internet service,No,Yes,Two year,No,Credit card (automatic),26.22,468.01,0,1.38,0
Male,0,Yes,Yes,50,Yes,No,Fiber optic,No,No,No internet service,No,No,Yes,One year,No,Credit card (automatic),36.98,1859.28,0,0.7250980392156862,0
Male,0,No,No,35,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Two year,Yes,Mailed check,26.87,953.91,0,0.7463888888888889,0
Female,0,No,No,43,No,Yes,Fiber optic,No internet service,No,Yes,No internet service,No,Yes,Month-to-month,Yes,Mailed check,42.58,1829.22,1,0.9677272727272727,1
Male,0,Yes,No,32,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Electronic check,45.97,1465.42,0,1.393030303030303,0
Male,0,No,No,23,Yes,No phone service,DSL,Yes,No internet service,No,Yes,No,No,Month-to-month,Yes,Mailed check,116.65,2688.13,1,4.860416666666667,0
Male,0,No,No,52,Yes,No,Fiber optic,No internet service,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),50.58,2636.39,0,0.9543396226415094,0
Female,1,No,No,12,Yes,No,DSL,Yes,No,No internet service,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),105.47,1269.28,1,8.113076923076923,0
Female,1,No,No,9,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No internet service,Month-to-month,No,Credit card (automatic),119.23,1068.84,1,11.923,0
Male,1,Yes,No,17,Yes,No,No,No internet service,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),51.69,881.49,1,2.8716666666666666,0
Female,0,No,No,55,Yes,Yes,No,Yes,No,No internet service,No,No,Yes,One year,No,Mailed check,64.67,3559.81,0,1.1548214285714287,0
Male,1,Yes,No,61,Yes,No,No,No,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),25.72,1570.21,0,0.4148387096774193,1
Male,0,Yes,Yes,46,Yes,No,Fiber optic,No,Yes,Yes,No internet service,No,No,One year,No,Mailed check,53.5,2451.29,0,1.1382978723404256,0
Male,0,Yes,No,15,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Mailed check,102.63,1534.48,0,6.414375,0
Male,0,No,Yes,25,Yes,Yes,DSL,No internet service,Yes,No internet service,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),74.2,1851.65,1,2.853846153846154,1
Female,0,No,No,46,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,Yes,No internet service,Month-to-month,No,Credit card (automatic),21.49,988.66,1,0.45723404255319144,1
Female,0,Yes,Yes,40,Yes,No,No,Yes,No,No,Yes,No,Yes,Two year,Yes,Electronic check,24.18,960.98,0,0.5897560975609756,0
Female,1,No,No,60,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),54.62,3276.52,1,0.8954098360655738,1
Female,0,Yes,Yes,21,Yes,No,Fiber optic,Yes,No internet service,No internet service,No,No internet service,No,Month-to-month,No,Electronic check,46.17,967.46,1,2.0986363636363636,0
Female,1,No,No,25,Yes,Yes,DSL,No internet service,No internet service,No internet service,No,No,No,One year,No,Electronic check,68.62,1713.6,0,2.6392307692307693,0
Male,0,No,No,14,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),25.67,353.03,1,1.7113333333333334,0
Male,0,Yes,No,42,No,Yes,DSL,No,No internet service,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,34.23,1435.74,0,0.7960465116279068,1
Male,0,No,No,29,Yes,Yes,Fiber optic,No internet service,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),118.95,3459.78,0,3.9650000000000003,0
Male,0,No,Yes,60,Yes,No,DSL,Yes,No internet service,No,No,No,No,Two year,Yes,Electronic check,119.75,7185.41,0,1.9631147540983607,0
Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,31.91,259.93,0,3.5455555555555556,0
Male,0,No,No,16,No,No,Fiber optic,No internet service,No,No internet service,No internet service,Yes,No,Month-to-month,No,Credit card (automatic),24.37,392.84,1,1.433529411764706,0
Female,0,Yes,No,29,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),90.6,2626.04,1,3.02,1
Female,1,Yes,Yes,27,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),53.39,1443.55,0,1.9067857142857143,1
Male,0,Yes,No,5,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,59.9,311.26,1,9.983333333333333,0
Male,0,No,Yes,13,Yes,No,DSL,No,No internet service,No,No,No,No,Month-to-month,Yes,Electronic check,77.66,1007.17,1,5.547142857142857,0
Male,1,Yes,No,52,Yes,No,No,No internet service,No,No internet service,No,No,Yes,One year,Yes,Electronic check,30.82,1599.78,0,0.5815094339622642,0
Female,0,No,No,12,Yes,Yes,DSL,Yes,No,No internet service,Yes,No,Yes,Month-to-month,Yes,Mailed check,72.2,862.32,1,5.553846153846154,0
Female,1,No,Yes,38,Yes,No,DSL,Yes,No,No,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),108.48,4117.43,1,2.7815384615384615,1
Female,0,No,No,46,Yes,Yes,No,No internet service,Yes,No internet service,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),50.06,2301.55,0,1.0651063829787235,1
Female,1,No,No,66,No,Yes,Fiber optic,Yes,No,No internet service,No,Yes,No internet service,Month-to-month,Yes,Mailed check,56.19,3710.99,1,0.8386567164179104,1
Female,0,No,No,70,Yes,No,DSL,No internet service,No,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,111.61,7811.23,1,1.5719718309859154,1
Female,0,No,No,60,Yes,Yes,No,No,Yes,No internet service,No,Yes,Yes,Month-to-month,Yes,Mailed check,27.36,1642.77,1,0.4485245901639344,1
Female,1,No,No,27,Yes,Yes,Fiber optic,No,No internet service,No,No,No,No,Two year,No,Electronic check,50.66,1380.24,0,1.8092857142857142,0
Female,0,No,No,48,Yes,No phone service,Fiber optic,No,Yes,No,No,No internet service,No,Month-to-month,No,Electronic check,84.64,4059.14,1,1.7273469387755103,1
Female,0,No,No,59,Yes,No,DSL,Yes,No,No internet service,No,Yes,No internet service,Month-to-month,Yes,Electronic check,117.09,6907.97,1,1.9515,1
Female,0,No,No,6,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,31.83,191.93,1,4.547142857142857,0
Male,0,Yes,No,61,Yes,No,Fiber optic,No internet service,Yes,No,No internet service,No,No,Month-to-month,No,Electronic check,51.67,3149.67,1,0.8333870967741935,1
Female,0,No,No,32,Yes,No,No,Yes,No,Yes,Yes,Yes,No internet service,Two year,Yes,Bank transfer (automatic),119.7,3825.41,0,3.6272727272727274,0
Female,0,Yes,No,20,No,No,No,No,No internet service,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),57.16,1144.23,0,2.721904761904762,0
Male,0,No,No,25,Yes,Yes,Fiber optic,No,No,No internet service,No,No,No,One year,No,Electronic check,21.22,525.12,0,0.8161538461538461,0
Female,0,Yes,No,36,Yes,Yes,No,Yes,No internet service,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),81.82,2955.51,1,2.211351351351351,1
Female,0,No,Yes,24,Yes,Yes,DSL,No,Yes,No internet service,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),77.36,1854.06,1,3.0944,0
Female,0,No,No,65,Yes,Yes,DSL,No internet service,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,35.87,2333.8,0,0.5434848484848485,1
Male,0,Yes,No,0,Yes,No,Fiber optic,No internet service,No internet service,Yes,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),85.87,0.0,1,85.87,0
